ID,Property Type,Bedrooms,Rent,Utilities Included,Min Stay,Bathrooms,Fees,Yard,Parking,Availability,Location,Link,Is Available,Time To Work
261414_1,House,2,1800,True,Month to Month,1,Cleaning Fee - $100.00/Deposit (Refundable) - $100.00/Pet Deposit (Non-Refundable) - $100.00,False,Free Parking on Premises,[],"33.8496480, -118.3774698",https://furnishedfinder.com/property/261414_1,True,2695
274582_1,Apartment (Sublet),1,3200,True,Month to Month,1,,False,Free Parking on Premises,[],"33.9958440, -118.4183412",https://furnishedfinder.com/property/274582_1,True,919
293852_1,Cottage,1,2250,True,3 Nights,1,Cleaning Fee - $150.00/Deposit (Refundable) - $500.00,False,charge on street parking where I actually park one of my vehicles,"[('2021-06-22', '2021-08-02')]","33.9870556, -118.3178619",https://furnishedfinder.com/property/293852_1,True,1719
295900_1,House,1,2500,True,Weekly,1,Cleaning Fee - $100.00/Deposit (Refundable) - $500.00,False,Free Parking on Premises,[],"33.9419997, -118.3632471",https://furnishedfinder.com/property/295900_1,True,1715
290167_1,House,0.5,2200,True,Nightly,1,Cleaning Fee - $50.00/Pet Deposit (Refundable) - $250.00/Deposit (Refundable) - $1000.00,True,Street Parking,[],"34.0437078, -118.3481809",https://furnishedfinder.com/property/290167_1,True,1120
275960_1,Apartment,1,2425,True,3 Month Minimum,1,Cleaning Fee - $125.00/Deposit (Refundable) - $900.00/Pet Deposit (Refundable) - $125.00,False,Free Parking on Premises,[],"34.0937821, -118.3401907",https://furnishedfinder.com/property/275960_1,True,1777
280513_1,Apartment,1,2400,True,Month to Month,1,Deposit (Refundable) - $1000.00,True,Free Parking on Premises,[],"34.0389965, -118.4619138",https://furnishedfinder.com/property/280513_1,True,442
293896_1,Cottage,1,2450,True,Month to Month,1,Deposit (Refundable) - $2450.00/Cleaning Fee - $250.00/Pet Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-22', '2021-06-24')]","34.0919727, -118.3582708",https://furnishedfinder.com/property/293896_1,True,1584
275132_1,House,2,4000,True,Month to Month,2,Deposit (Refundable) - $1500.00/Cleaning Fee - $160.00/Pet Deposit (Refundable) - $150.00,True,Free Parking on Premises,[],"34.0213087, -118.3179076",https://furnishedfinder.com/property/275132_1,True,1617
293607_1,House,1,2300,True,Month to Month,1,Deposit (Refundable) - $700.00/Pet Deposit (Refundable) - $150.00,True,Street parking,[],"34.0845604, -118.2976055",https://furnishedfinder.com/property/293607_1,True,2397
294019_1,Apartment,2,2675,False,Month to Month,1,Deposit (Refundable) - $1337.50/Cleaning Fee - $500.00/Pet Deposit (Refundable) - $500.00,False,Free Parking on Premises,[],"34.0562860, -118.3440430",https://furnishedfinder.com/property/294019_1,True,1341
242974_1,Apartment,1,3011,True,Month to Month,1,,False,Free Parking on Premises,[],"34.05015385917887, -118.2512346844019",https://furnishedfinder.com/property/242974_1,True,2074
255966_1,Apartment,2,2700,True,Month to Month,1,Cleaning Fee - $350.00/Damage Waiver - $59.00,False,There is no dedicated parking,"[('2021-12-20', '2022-06-24')]","34.0538570, -118.3018327",https://furnishedfinder.com/property/255966_1,True,1846
281532_1,Cottage,2,3300,True,Month to Month,1,Deposit (Refundable) - $770.00/Cleaning Fee - $150.00,False,Free Parking on Premises,[],"34.0385767, -118.3263098",https://furnishedfinder.com/property/281532_1,True,1339
248502_2,Cottage,1,2500,True,Month to Month,1,Cleaning Fee - $80.00/Deposit (Refundable) - $200.00,False,Free Parking on Premises,[],"34.1236502, -118.3472061",https://furnishedfinder.com/property/248502_2,True,2395
271540_1,Condo,3,6500,False,Weekly,2,Application Fee - $30.00/Deposit (Refundable) - $1000.00/Pet Deposit (Refundable) - $300.00,False,Free Parking on Premises,"[('2021-09-20', '2022-06-23')]","34.043129822453785, -118.25872153320313",https://furnishedfinder.com/property/271540_1,True,2135
263131_1,House,2,3100,True,Month to Month,2,Cleaning Fee - $150.00/Deposit (Non-Refundable) - $300.00/Deposit (Refundable) - $3100.00,False,Free Parking on Premises,[],"34.1775971, -118.5344590",https://furnishedfinder.com/property/263131_1,True,1887
261414_1,House,2,1800,True,Month to Month,1,Cleaning Fee - $100.00/Deposit (Refundable) - $100.00/Pet Deposit (Non-Refundable) - $100.00,False,Free Parking on Premises,[],"33.8496480, -118.3774698",https://furnishedfinder.com/property/261414_1,True,2695
270347_1,Apartment,2,3100,True,Month to Month,1,Cleaning Fee - $125.00/Pet Deposit (Refundable) - $200.00/Deposit (Refundable) - $1200.00,False,Free Parking on Premises,"[('2021-05-31', '2021-06-24')]","34.0079178, -118.3317873",https://furnishedfinder.com/property/270347_1,True,1564
294086_1,Cottage,1,2450,True,Month to Month,1,Pet Deposit (Non-Refundable) - $300.00/Cleaning Fee - $300.00,True,Free Parking on Premises,"[('2021-06-06', '2021-06-25')]","33.9837664, -118.3251503",https://furnishedfinder.com/property/294086_1,True,1719
294086_1,Cottage,1,2450,True,Month to Month,1,Pet Deposit (Non-Refundable) - $300.00/Cleaning Fee - $300.00,True,Free Parking on Premises,"[('2021-06-06', '2021-06-25')]","33.9837664, -118.3251503",https://furnishedfinder.com/property/294086_1,True,1719
247195_1,Apartment,1,2200,True,Month to Month,1,Deposit (Refundable) - $800.00/Cleaning Fee - $75.00,False,Free Parking on Premises,"[('2021-06-27', '2021-06-27'), ('2021-06-27', '2021-06-27')]","33.9965186, -118.4178848",https://furnishedfinder.com/property/247195_1,True,939
247195_1,Apartment,1,2200,True,Month to Month,1,Deposit (Refundable) - $800.00/Cleaning Fee - $75.00,False,Free Parking on Premises,"[('2021-06-27', '2021-06-27'), ('2021-06-27', '2021-06-27')]","33.9965186, -118.4178848",https://furnishedfinder.com/property/247195_1,True,939
273306_1,Apartment,1,2850,True,Month to Month,1,Cleaning Fee - $125.00/Deposit (Refundable) - $2850.00/Pet Deposit (Non-Refundable) - $200.00,True,,"[('2021-06-16', '2021-06-27')]","34.0248110, -118.4949963",https://furnishedfinder.com/property/273306_1,True,276
288737_1,Apartment,1,2600,True,Month to Month,1,Deposit (Refundable) - $1000.00/Cleaning Fee - $100.00,False,Free Parking on Premises,"[('2021-06-15', '2021-06-28')]","33.9968440, -118.4685428",https://furnishedfinder.com/property/288737_1,True,815
295592_1,Apartment,2,3400,True,Month to Month,1,Deposit (Refundable) - $3400.00,False,Free Parking on Premises,"[('2021-06-19', '2021-06-28')]","33.9932197, -118.4781709",https://furnishedfinder.com/property/295592_1,True,754
200588_1,Apartment,1,2400,True,3 Month Minimum,1,Application Fee - $40.00/Deposit (Refundable) - $1000.00/Cleaning Fee - $150.00,False,street parking,"[('2021-06-08', '2021-06-29')]","34.0382506, -118.3509428",https://furnishedfinder.com/property/200588_1,True,1032
259598_1,Apartment,0.5,1600,True,Month to Month,1,Application Fee - $30.00/Cleaning Fee - $100.00/Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-07', '2021-06-30')]","34.1658908, -118.5397850",https://furnishedfinder.com/property/259598_1,True,1914
193306_1,House,0.5,2100,True,Month to Month,1,,False,Free Parking on Premises,"[('2021-03-11', '2021-06-30')]","34.1787075, -118.5471587",https://furnishedfinder.com/property/193306_1,True,1955
260780_1,Apartment,0.5,1600,True,3 Month Minimum,1,Cleaning Fee - $100.00/Deposit (Refundable) - $500.00/Pet Deposit (Non-Refundable) - $100.00,False,Free Parking on Premises,"[('2021-06-15', '2021-06-30')]","34.165700, -118.608430",https://furnishedfinder.com/property/260780_1,True,2092
290407_1,House,3,6500,True,Month to Month,2,Cleaning Fee - $120.00,True,Free Parking on Premises,"[('2021-06-15', '2021-06-30')]","34.1724940, -118.5150655",https://furnishedfinder.com/property/290407_1,True,1704
293212_1,Apartment,2,3650,True,Month to Month,2,Cleaning Fee - $150.00/Deposit (Refundable) - $750.00,False,Free Parking on Premises,"[('2021-06-21', '2021-06-30')]","34.1998459, -118.5384397",https://furnishedfinder.com/property/293212_1,True,2245
247002_1,Apartment,0.5,1200,True,Month to Month,1,Deposit (Refundable) - $1200.00,False,Street Parking,"[('2021-05-31', '2021-06-30')]","33.9101293, -118.2586238",https://furnishedfinder.com/property/247002_1,True,2742
232291_1,Cottage,1,2000,True,Month to Month,1,Deposit (Refundable) - $1000.00,False,Ample unrestricted street parking only,"[('2021-05-31', '2021-06-30')]","33.9573328, -118.3251766",https://furnishedfinder.com/property/232291_1,True,1889
270467_1,Apartment,1,2450,True,Month to Month,1,Cleaning Fee - $100.00/Deposit (Refundable) - $1500.00,True,Free Parking on Premises,"[('2021-05-11', '2021-06-30')]","33.8328793, -118.3140135",https://furnishedfinder.com/property/270467_1,True,2715
295647_1,Cottage,1,2550,True,Month to Month,1,Cleaning Fee - $250.00/Deposit (Non-Refundable) - $1500.00,False,Free Parking on Premises,[],"33.8401493, -118.3840181",https://furnishedfinder.com/property/295647_1,True,2751
295808_1,Apartment,1,2750,True,Month to Month,1,Cleaning Fee - $150.00/Deposit (Refundable) - $1000.00,False,Free Parking on Premises,[],"33.9594564, -118.4303223",https://furnishedfinder.com/property/295808_1,True,1296
213912_1,Apartment,1,1800,True,Month to Month,1,,False,Free Parking on Premises,"[('2021-05-31', '2021-06-30')]","34.065960, -118.398240",https://furnishedfinder.com/property/213912_1,True,1140
226098_1,House,4,1695,True,Month to Month,3,Deposit (Refundable) - $1595.00,False,,"[('2021-05-31', '2021-06-30')]","34.0465602, -118.4617829",https://furnishedfinder.com/property/226098_1,True,444
263325_1,Apartment,1,1500,True,Month to Month,1,,False,Free Parking on Premises,"[('2021-06-12', '2021-06-30')]","34.0657782, -118.4053338",https://furnishedfinder.com/property/263325_1,True,1010
263380_1,Apartment,1,3300,True,Month to Month,1,,False,Free Parking on Premises,"[('2021-06-13', '2021-06-30')]","34.0846666, -118.3749795",https://furnishedfinder.com/property/263380_1,True,1419
266920_1,House,2,3500,True,Month to Month,2,,False,Street Parking,"[('2021-03-24', '2021-06-30')]","34.1160953, -118.3200538",https://furnishedfinder.com/property/266920_1,True,2735
292961_1,Cottage,0.5,1750,True,Month to Month,1,Deposit (Refundable) - $500.00,False,Free Parking on Premises,[],"34.0396274, -118.3504181",https://furnishedfinder.com/property/292961_1,True,1030
295847_1,House,1,3500,True,Month to Month,1,,False,Free Parking on Premises,"[('2021-06-18', '2021-06-30')]","34.1532040, -118.3837040",https://furnishedfinder.com/property/295847_1,True,2082
259598_1,Apartment,0.5,1600,True,Month to Month,1,Application Fee - $30.00/Cleaning Fee - $100.00/Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-07', '2021-06-30')]","34.1658908, -118.5397850",https://furnishedfinder.com/property/259598_1,True,1914
260780_1,Apartment,0.5,1600,True,3 Month Minimum,1,Cleaning Fee - $100.00/Deposit (Refundable) - $500.00/Pet Deposit (Non-Refundable) - $100.00,False,Free Parking on Premises,"[('2021-06-15', '2021-06-30')]","34.165700, -118.608430",https://furnishedfinder.com/property/260780_1,True,2092
293212_1,Apartment,2,3650,True,Month to Month,2,Cleaning Fee - $150.00/Deposit (Refundable) - $750.00,False,Free Parking on Premises,"[('2021-06-21', '2021-06-30')]","34.1998459, -118.5384397",https://furnishedfinder.com/property/293212_1,True,2245
295957_1,Apartment (Sublet),2,4200,True,Month to Month,1,Cleaning Fee - $200.00,False,Free Parking on Premises,"[('2021-06-20', '2021-07-01')]","33.9183267, -118.4090974",https://furnishedfinder.com/property/295957_1,True,1909
277119_1,Apartment (Sublet),1,3750,True,Month to Month,1,Cleaning Fee - $150.00/Pet Deposit (Refundable) - $300.00/Deposit (Refundable) - $1000.00,False,,"[('2021-06-03', '2021-07-02')]","34.0997249, -118.3192469",https://furnishedfinder.com/property/277119_1,True,2439
280427_1,House,2,8000,True,Month to Month,2,Cleaning Fee - $150.00/Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-05-28', '2021-07-02')]","34.0287145, -118.4610871",https://furnishedfinder.com/property/280427_1,True,466
289559_1,Condo,1,2900,True,Month to Month,1,Cleaning Fee - $200.00/Pet Deposit (Non-Refundable) - $50.00/Deposit (Refundable) - $300.00,False,Free Parking on Premises,"[('2021-06-05', '2021-07-03')]","34.0810513, -118.3433640",https://furnishedfinder.com/property/289559_1,True,1734
279424_1,Apartment (Sublet),1,2750,True,Month to Month,1,Deposit (Refundable) - $750.00,False,Plenty of street parking however arrangements may be made for indoor parking at an additional cost to tenant,"[('2021-06-12', '2021-07-04')]","33.8313281, -118.3870306",https://furnishedfinder.com/property/279424_1,True,2981
239921_1,Apartment,1,2800,True,Month to Month,1,Application Fee - $35.00/Cleaning Fee - $150.00/Deposit (Refundable) - $600.00,False,Free Parking on Premises,"[('2021-05-17', '2021-07-04')]","34.1942212, -118.4788494",https://furnishedfinder.com/property/239921_1,True,1971
274907_1,Condo,2,2700,True,Month to Month,1,Deposit (Refundable) - $2000.00/Pet Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-06', '2021-07-04')]","34.0392460, -118.3726510",https://furnishedfinder.com/property/274907_1,True,864
265024_1,House,1,1950,True,Month to Month,1,Cleaning Fee - $75.00,False,Free Parking on Premises,"[('2021-03-30', '2021-07-07')]","34.1628813, -118.6048934",https://furnishedfinder.com/property/265024_1,True,2111
229798_1,Apartment,1,1721,True,Month to Month,1,Application Fee - $40.00/Deposit (Refundable) - $1000.00,False,street parking and reserved garage parking may be available,"[('2021-06-07', '2021-07-07')]","34.052570, -118.462960",https://furnishedfinder.com/property/229798_1,True,447
240063_2,Apartment (Sublet),2,3900,False,Month to Month,1,Deposit (Refundable) - $3900.00/Cleaning Fee - $100.00/Pet Deposit (Refundable) - $500.00,True,Free Parking on Premises,"[('2021-05-16', '2021-07-09')]","33.99656148173324, -118.44998818518066",https://furnishedfinder.com/property/240063_2,True,803
242274_1,Apartment (Sublet),2,5400,True,Month to Month,1,Deposit (Refundable) - $500.00/Pet Deposit (Refundable) - $100.00/Cleaning Fee - $200.00,False,Free Parking on Premises,"[('2021-05-01', '2021-07-09')]","33.9922215, -118.4673865",https://furnishedfinder.com/property/242274_1,True,918
254042_1,Apartment,1,1950,True,Month to Month,1,Deposit (Refundable) - $1500.00,False,Free Parking on Premises,"[('2021-03-25', '2021-07-09')]","33.9958275, -118.3336377",https://furnishedfinder.com/property/254042_1,True,1557
263784_1,Apartment,2,2300,True,3 Month Minimum,1,Deposit (Refundable) - $1000.00/Cleaning Fee - $100.00,False,Plenty of street parking this street ends at a park so only residents people that goes to the park,"[('2021-05-27', '2021-07-09')]","33.9951016, -118.4339752",https://furnishedfinder.com/property/263784_1,True,1075
267096_1,House,1,2000,True,Month to Month,1,Cleaning Fee - $200.00/Deposit (Refundable) - $400.00,True,Free Parking on Premises,"[('2021-06-12', '2021-07-09')]","33.9962904, -118.2774891",https://furnishedfinder.com/property/267096_1,True,2224
128521_1,Apartment,1,2750,True,Month to Month,1,Cleaning Fee - $50.00/Pet Deposit (Non-Refundable) - $50.00,True,Free Parking on Premises,"[('2021-06-14', '2021-07-09')]","34.102368219377375, -118.32500757733155",https://furnishedfinder.com/property/128521_1,True,2380
240063_2,Apartment (Sublet),2,3900,False,Month to Month,1,Deposit (Refundable) - $3900.00/Cleaning Fee - $100.00/Pet Deposit (Refundable) - $500.00,True,Free Parking on Premises,"[('2021-05-16', '2021-07-09')]","33.99656148173324, -118.44998818518066",https://furnishedfinder.com/property/240063_2,True,803
289602_1,Apartment,1,2300,True,Month to Month,1,Application Fee - $40.00/Cleaning Fee - $75.00/Deposit (Refundable) - $1500.00,True,Street parking with no restrictions,"[('2021-06-10', '2021-07-10'), ('2021-07-10', '2021-07-11'), ('2021-12-19', '2022-06-23')]","34.2074927, -118.5183851",https://furnishedfinder.com/property/289602_1,True,2327
238492_1,Apartment,3,5100,True,3 Month Minimum,2,Cleaning Fee - $300.00/Pet Deposit (Non-Refundable) - $300.00/Deposit (Refundable) - $2500.00,False,Free Parking on Premises,"[('2021-05-23', '2021-07-11')]","33.961130, -118.450030",https://furnishedfinder.com/property/238492_1,True,1278
189654_1,Apartment (Sublet),0.5,1895,True,Month to Month,1,Deposit (Refundable) - $1000.00/Pet Deposit (Refundable) - $500.00/Cleaning Fee - $140.00,False,Free Parking on Premises,"[('2021-06-08', '2021-07-11')]","34.1834387, -118.3491699",https://furnishedfinder.com/property/189654_1,True,2512
281632_1,Cottage,1,2000,True,Month to Month,1,Application Fee - $25.00/Cleaning Fee - $250.00/Pet Deposit (Non-Refundable) - $250.00,False,Free Parking on Premises,"[('2021-06-19', '2021-07-14')]","33.9792899, -118.3807846",https://furnishedfinder.com/property/281632_1,True,1305
283015_2,Apartment,1,3800,True,Month to Month,1,Cleaning Fee - $265.00,False,Free Parking on Premises,"[('2021-06-20', '2021-07-14')]","33.9794277, -118.4373600",https://furnishedfinder.com/property/283015_2,True,1094
281632_1,Cottage,1,2000,True,Month to Month,1,Application Fee - $25.00/Cleaning Fee - $250.00/Pet Deposit (Non-Refundable) - $250.00,False,Free Parking on Premises,"[('2021-06-19', '2021-07-14')]","33.9792899, -118.3807846",https://furnishedfinder.com/property/281632_1,True,1305
291410_1,Apartment,0.5,1800,True,Month to Month,1,Deposit (Refundable) - $1800.00/Pet Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-02', '2021-07-15')]","34.1100673, -118.3331104",https://furnishedfinder.com/property/291410_1,True,2418
282332_1,Apartment (Sublet),2,2600,True,Month to Month,1,Cleaning Fee - $200.00/Pet Deposit (Non-Refundable) - $300.00/Deposit (Refundable) - $1000.00,False,Free Parking on Premises,"[('2021-06-19', '2021-07-16')]","33.8891131, -118.3140260",https://furnishedfinder.com/property/282332_1,True,2415
189058_1,House,0.5,1790,True,3 Month Minimum,1,Deposit (Refundable) - $1000.00/Cleaning Fee - $160.00,False,Free Parking on Premises,"[('2021-07-17', '2021-07-17')]","34.1746139, -118.3938375",https://furnishedfinder.com/property/189058_1,True,2266
283184_1,House,2,2750,True,Month to Month,1,Cleaning Fee - $145.00/Application Fee - $35.00/Pet Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-02', '2021-07-16')]","34.0791814, -118.3030027",https://furnishedfinder.com/property/283184_1,True,2164
282332_1,Apartment (Sublet),2,2600,True,Month to Month,1,Cleaning Fee - $200.00/Pet Deposit (Non-Refundable) - $300.00/Deposit (Refundable) - $1000.00,False,Free Parking on Premises,"[('2021-06-19', '2021-07-16')]","33.8891131, -118.3140260",https://furnishedfinder.com/property/282332_1,True,2415
217001_1,Cottage,1,2300,True,Month to Month,1,Application Fee - $50.00/Cleaning Fee - $200.00/Deposit (Refundable) - $1150.00,False,Street Parking,"[('2021-05-19', '2021-07-17')]","33.93730879740851, -118.30806886826173",https://furnishedfinder.com/property/217001_1,True,2279
251386_1,Cottage (Sublet),0.5,2000,True,Month to Month,1,Deposit (Refundable) - $1750.00/Cleaning Fee - $70.00/Pet Deposit (Non-Refundable) - $100.00,True,Free Parking on Premises,"[('2021-06-15', '2021-07-17')]","33.9972501, -118.4736178",https://furnishedfinder.com/property/251386_1,True,809
217001_1,Cottage,1,2300,True,Month to Month,1,Application Fee - $50.00/Cleaning Fee - $200.00/Deposit (Refundable) - $1150.00,False,Street Parking,"[('2021-05-19', '2021-07-17')]","33.93730879740851, -118.30806886826173",https://furnishedfinder.com/property/217001_1,True,2279
251386_1,Cottage (Sublet),0.5,2000,True,Month to Month,1,Deposit (Refundable) - $1750.00/Cleaning Fee - $70.00/Pet Deposit (Non-Refundable) - $100.00,True,Free Parking on Premises,"[('2021-06-15', '2021-07-17')]","33.9972501, -118.4736178",https://furnishedfinder.com/property/251386_1,True,809
239494_1,House,0.5,1695,True,Month to Month,1,Application Fee - $30.00/Cleaning Fee - $120.00/Deposit (Refundable) - $1000.00,False,Free Street parking,"[('2021-05-09', '2021-07-19')]","34.2065903, -118.5183039",https://furnishedfinder.com/property/239494_1,True,2359
271492_1,Apartment,1,2700,True,Month to Month,1,Deposit (Refundable) - $500.00/Cleaning Fee - $75.00/Pet Deposit (Refundable) - $100.00,True,Free Parking on Premises,"[('2021-06-24', '2021-06-27'), ('2021-07-03', '2021-07-05'), ('2021-07-08', '2021-07-14'), ('2021-07-16', '2021-07-20'), ('2021-08-21', '2021-08-28'), ('2021-12-19', '2022-06-23')]","34.1220978, -118.3211498",https://furnishedfinder.com/property/271492_1,True,2691
239494_1,House,0.5,1695,True,Month to Month,1,Application Fee - $30.00/Cleaning Fee - $120.00/Deposit (Refundable) - $1000.00,False,Free Street parking,"[('2021-05-09', '2021-07-19')]","34.2065903, -118.5183039",https://furnishedfinder.com/property/239494_1,True,2359
239921_2,Apartment,1,2600,True,Month to Month,1,Application Fee - $35.00/Cleaning Fee - $135.00/Deposit (Refundable) - $600.00,False,Free Parking on Premises,"[('2021-05-17', '2021-07-20')]","34.1942212, -118.4788494",https://furnishedfinder.com/property/239921_2,True,1971
261642_1,House,1,2000,True,3 Month Minimum,1,Cleaning Fee - $150.00/Deposit (Refundable) - $500.00,False,Free Parking on Premises,"[('2021-06-03', '2021-07-23')]","34.1924205, -118.6111621",https://furnishedfinder.com/property/261642_1,True,2387
267215_1,House,3,5550,True,Month to Month,2,Cleaning Fee - $325.00/Deposit (Refundable) - $2775.00/Pet Deposit (Non-Refundable) - $250.00,True,Free Parking on Premises,"[('2021-06-21', '2021-07-24'), ('2021-09-21', '2022-06-24')]","33.9912694, -118.4573120",https://furnishedfinder.com/property/267215_1,True,901
267215_1,House,3,5550,True,Month to Month,2,Cleaning Fee - $325.00/Deposit (Refundable) - $2775.00/Pet Deposit (Non-Refundable) - $250.00,True,Free Parking on Premises,"[('2021-06-21', '2021-07-24'), ('2021-09-21', '2022-06-24')]","33.9912694, -118.4573120",https://furnishedfinder.com/property/267215_1,True,901
233914_1,House,2,2595,True,Month to Month,1,Cleaning Fee - $120.00/Deposit (Refundable) - $1500.00/Pet Deposit (Refundable) - $800.00,True,Free Parking on Premises,"[('2021-05-09', '2021-07-24')]","34.2065903, -118.5183039",https://furnishedfinder.com/property/233914_1,True,2359
287094_1,Cottage,0.5,2450,True,Month to Month,1,Deposit (Refundable) - $2450.00/Cleaning Fee - $125.00/Pet Deposit (Non-Refundable) - $200.00,False,,"[('2021-06-13', '2021-07-24')]","33.9851776, -118.4707793",https://furnishedfinder.com/property/287094_1,True,850
233914_1,House,2,2595,True,Month to Month,1,Cleaning Fee - $120.00/Deposit (Refundable) - $1500.00/Pet Deposit (Refundable) - $800.00,True,Free Parking on Premises,"[('2021-05-09', '2021-07-24')]","34.2065903, -118.5183039",https://furnishedfinder.com/property/233914_1,True,2359
287094_1,Cottage,0.5,2450,True,Month to Month,1,Deposit (Refundable) - $2450.00/Cleaning Fee - $125.00/Pet Deposit (Non-Refundable) - $200.00,False,,"[('2021-06-13', '2021-07-24')]","33.9851776, -118.4707793",https://furnishedfinder.com/property/287094_1,True,850
279220_1,Condo,2,2200,True,Month to Month,2,Deposit (Refundable) - $725.00/Pet Deposit (Refundable) - $100.00/Cleaning Fee - $100.00,False,Free Parking on Premises,"[('2021-04-21', '2021-07-30')]","34.1973105, -118.3961825",https://furnishedfinder.com/property/279220_1,True,2554
205692_1,House,1,1800,True,Month to Month,1,Pet Deposit (Non-Refundable) - $200.00/Deposit (Refundable) - $500.00/Cleaning Fee - $100.00,False,Free Parking on Premises,"[('2021-05-24', '2021-07-31')]","33.9906629, -118.3239353",https://furnishedfinder.com/property/205692_1,True,1660
256666_1,Apartment,1,3500,True,Month to Month,1,Covid Cleaning at Move Out - $200.00/Deposit (Refundable) - $500.00/Bi Monthly Cleaning - $150.00,False,Free Parking on Premises,"[('2021-05-22', '2021-07-31')]","33.9878920, -118.4689818",https://furnishedfinder.com/property/256666_1,True,875
262855_1,House,0.5,1700,True,Month to Month,1,Application Fee - $30.00/Cleaning Fee - $150.00/Deposit (Refundable) - $850.00,True,Street Parking,"[('2021-06-08', '2021-07-31')]","33.945110, -118.320780",https://furnishedfinder.com/property/262855_1,True,2037
268664_1,House,2,3100,True,Month to Month,1,Cleaning Fee - $150.00/Deposit (Refundable) - $600.00/Pet Deposit (Refundable) - $150.00,True,Free Parking on Premises,"[('2021-06-10', '2021-07-31')]","33.9638943, -118.3101042",https://furnishedfinder.com/property/268664_1,True,2041
293933_1,Apartment,1,2200,True,3 Month Minimum,1,Application Fee - $30.00/Cleaning Fee - $125.00/Deposit (Refundable) - $1000.00,False,ample street parking,"[('2021-06-17', '2021-07-31')]","33.9854050, -118.4310588",https://furnishedfinder.com/property/293933_1,True,1059
237664_1,Condo,2,3500,True,Month to Month,1,Cleaning Fee - $100.00/Deposit (Refundable) - $250.00/Pet Deposit (Non-Refundable) - $100.00,True,Free Parking on Premises,"[('2021-08-01', '2021-08-01')]","34.1147034, -118.2612619",https://furnishedfinder.com/property/237664_1,True,2673
240999_1,Apartment,1,2395,True,Month to Month,1,Deposit (Refundable) - $1197.50/Application Fee - $30.00/Pet Deposit (Refundable) - $300.00,False,Free Parking on Premises,"[('2021-05-21', '2021-07-31')]","34.0289635, -118.4056269",https://furnishedfinder.com/property/240999_1,True,749
250185_1,Cottage,2,2700,True,Month to Month,1,Cleaning Fee - $100.00/Deposit (Refundable) - $3000.00,True,Free Parking on Premises,"[('2021-06-21', '2021-07-31')]","34.0964691, -118.2789050",https://furnishedfinder.com/property/250185_1,True,2570
